TERM_CODE,TERM_DESCRIPTION,COURSE_NUMBER,TITLE,ACTUAL_ENROLLMENT
200610,Fall Semester 2005,101,Living with Computers,37
200610,Fall Semester 2005,101,Living with Computers,39
200610,Fall Semester 2005,135,Select Top in Comp Science,16
200610,Fall Semester 2005,144,Intro to Computer Science,14
200610,Fall Semester 2005,145,Intro to Object-Oriented Prog,7
200610,Fall Semester 2005,245,Adv Computer Programming,2
200610,Fall Semester 2005,341,Mach Arch & Assem Lang Prog,6
200610,Fall Semester 2005,451,Software Engineering,5
200610,Fall Semester 2005,457,Computer Networks,10
200620,Spring Semester 2006,101,Living with Computers,37
200620,Spring Semester 2006,101,Living with Computers,40
200620,Spring Semester 2006,135,Select Top in Comp Science,4
200620,Spring Semester 2006,144,Intro to Computer Science,9
200620,Spring Semester 2006,145,Intro to Object-Oriented Prog,11
200620,Spring Semester 2006,245,Adv Computer Programming,2
200620,Spring Semester 2006,327,Hands on UNIX,6
200620,Spring Semester 2006,328,C and Unix,6
200620,Spring Semester 2006,335,Select Top in Comp Science,3
200620,Spring Semester 2006,335,Select Top in Comp Science,8
200620,Spring Semester 2006,350,Programming Seminar 1,3
200620,Spring Semester 2006,380,Computer Modeling & Simulation,8
200620,Spring Semester 2006,421,Adv Data Struct & Alg Dev,2
200620,Spring Semester 2006,443,Operating Systems,1
200620,Spring Semester 2006,443,Operating Systems,9
200710,Fall Semester 2006,101,Living with Computers,44
200710,Fall Semester 2006,101,Living with Computers,45
200710,Fall Semester 2006,144,Intro to Computer Science,25
200710,Fall Semester 2006,145,Intro to Object-Oriented Prog,7
200710,Fall Semester 2006,245,Adv Computer Programming,2
200710,Fall Semester 2006,314,"The ""C++"" Prog Language",5
200710,Fall Semester 2006,431,Database Management,6
200710,Fall Semester 2006,450,Programming Seminar 2,1
200710,Fall Semester 2006,459,Network Security,7
200710,Fall Semester 2006,472,Cognitive Science,2
200710,Fall Semester 2006,474,Machine Learning Algorithms,2
200720,Spring Semester 2007,101,Living with Computers,39
200720,Spring Semester 2007,101,Living with Computers,40
200720,Spring Semester 2007,144,Intro to Computer Science,15
200720,Spring Semester 2007,145,Intro to Object-Oriented Prog,12
200720,Spring Semester 2007,245,Adv Computer Programming,5
200720,Spring Semester 2007,327,Hands on UNIX,4
200720,Spring Semester 2007,335,Select Top in Comp Science,1
200720,Spring Semester 2007,335,Select Top in Comp Science,11
200720,Spring Semester 2007,350,Programming Seminar 1,6
200810,Fall Semester 2007,101,Living with Computers,36
200810,Fall Semester 2007,101,Living with Computers,38
200810,Fall Semester 2007,144,Intro to Computer Science,23
200810,Fall Semester 2007,145,Intro to Object-Oriented Prog,11
200810,Fall Semester 2007,341,Mach Arch & Assem Lang Prog,9
200810,Fall Semester 2007,443,Operating Systems,4
200810,Fall Semester 2007,451,Software Engineering,9
200810,Fall Semester 2007,457,Computer Networks,8
200810,Fall Semester 2007,463,Web Programming,2
200820,Spring Semester 2008,101,Living with Computers,28
200820,Spring Semester 2008,101,Living with Computers,40
200820,Spring Semester 2008,144,Intro to Computer Science,18
200820,Spring Semester 2008,145,Intro to Object-Oriented Prog,18
200820,Spring Semester 2008,245,Adv Computer Programming,2
200820,Spring Semester 2008,328,C and Unix,10
200820,Spring Semester 2008,345,Data & File Structures,9
200820,Spring Semester 2008,431,Database Management,8
200820,Spring Semester 2008,450,Programming Seminar 2,6
200820,Spring Semester 2008,473,Artificial Neural Networks,1
200910,Fall Semester 2008,101,Living with Computers,37
200910,Fall Semester 2008,101,Living with Computers,40
200910,Fall Semester 2008,144,Intro to Computer Science,24
200910,Fall Semester 2008,145,Intro to Object-Oriented Prog,21
200910,Fall Semester 2008,245,Adv Computer Programming,4
200910,Fall Semester 2008,350,Programming Seminar 1,7
200910,Fall Semester 2008,451,Software Engineering,4
200910,Fall Semester 2008,461,Programming Languages,8
200910,Fall Semester 2008,463,Web Programming,7
200920,Spring Semester 2009,101,Living with Computers,36
200920,Spring Semester 2009,101,Living with Computers,40
200920,Spring Semester 2009,144,Intro to Computer Science,15
200920,Spring Semester 2009,145,Intro to Object-Oriented Prog,13
200920,Spring Semester 2009,245,Adv Computer Programming,7
200920,Spring Semester 2009,328,C and Unix,11
200920,Spring Semester 2009,335,Select Top in Comp Science,1
200920,Spring Semester 2009,335,Select Top in Comp Science,1
200920,Spring Semester 2009,335,Select Top in Comp Science,5
