  PID TTY           TIME CMD
    1 ??         7:00.38 /sbin/launchd
   43 ??         0:55.04 /usr/sbin/syslogd
   44 ??         0:53.59 /usr/libexec/UserEventAgent (System)
   46 ??         0:10.58 /usr/libexec/kextd
   47 ??         1:11.14 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
   51 ??         0:04.68 /System/Library/CoreServices/appleeventsd --server
   52 ??         0:37.00 /usr/libexec/configd
   53 ??         0:06.93 /System/Library/CoreServices/powerd.bundle/powerd
   58 ??         0:45.16 /usr/libexec/airportd
   60 ??         0:02.17 /usr/libexec/warmd
   61 ??         2:54.92 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
   65 ??         0:00.14 /System/Library/CoreServices/iconservicesd
   66 ??         0:00.03 /System/Library/CoreServices/iconservicesagent
   67 ??         0:02.60 /usr/libexec/diskarbitrationd
   69 ??         0:26.72 /usr/libexec/coreduetd
   70 ??         0:00.02 /usr/libexec/wdhelper
   72 ??         0:33.14 /usr/libexec/opendirectoryd
   73 ??         0:00.51 /usr/sbin/wirelessproxd
   75 ??         0:14.65 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
   76 ??         0:55.00 /System/Library/CoreServices/launchservicesd
   78 ??         0:13.83 /usr/sbin/securityd -i
   80 ??         0:10.38 /usr/libexec/locationd
   82 ??         0:02.20 /usr/libexec/displaypolicyd
   83 ??         0:04.42 /usr/sbin/blued
   84 ??         0:00.04 autofsd
   88 ??         0:20.13 /usr/sbin/mDNSResponder
   90 ??         0:00.61 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
   92 ??         0:00.12 /System/Library/CoreServices/logind
   93 ??         0:00.01 /usr/sbin/KernelEventAgent
   96 ??         3:42.11 /usr/libexec/hidd
   97 ??         0:00.99 /usr/libexec/AirPlayXPCHelper
   98 ??         0:21.32 /usr/sbin/notifyd
  100 ??         0:31.98 /usr/sbin/distnoted daemon
  105 ??         0:01.98 aslmanager
  116 ??         0:01.74 /usr/libexec/diagnosticd
  126 ??         0:09.39 /usr/libexec/sandboxd
  128 ??         0:15.53 /usr/sbin/cfprefsd daemon
  130 ??         0:01.31 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
  133 ??         0:05.56 /System/Library/CoreServices/coreservicesd
  138 ??         0:00.03 /System/Library/Frameworks/PCSC.framework/Versions/A/XPCServices/com.apple.ctkpcscd.xpc/Contents/MacOS/com.apple.ctkpcscd
  146 ??         0:00.03 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -s
  147 ??         0:00.08 /usr/libexec/secinitd
  167 ??         8:40.06 /usr/sbin/coreaudiod
  168 ??         0:00.08 /System/Library/Frameworks/CoreAudio.framework/Versions/A/XPCServices/com.apple.audio.DriverHelper.xpc/Contents/MacOS/com.apple.audio.DriverHelper
  170 ??         0:01.35 /System/Library/PrivateFrameworks/WirelessDiagnostics.framework/Support/awdd
  172 ??         0:02.03 /usr/libexec/lsd runAsRoot
  174 ??         0:12.58 /usr/libexec/networkd
  175 ??         0:00.12 /usr/libexec/networkd_privileged
  176 ??         0:01.21 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
  177 ??         2:18.98 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
  179 ??         0:01.07 /usr/libexec/nsurlsessiond --privileged
  180 ??         0:00.40 /usr/libexec/nehelper
  181 ??         0:07.05 /usr/sbin/ntpd -c /private/etc/ntp-restrict.conf -n -g -p /var/run/ntpd.pid -f /var/db/ntp.drift
  182 ??         0:00.32 /usr/libexec/corestoraged
  183 ??         0:00.58 /usr/libexec/usbd
  184 ??         0:00.05 /System/Library/CryptoTokenKit/com.apple.ifdreader.slotd/Contents/MacOS/com.apple.ifdreader
  185 ??         0:00.10 /System/Library/Frameworks/CoreMediaIO.framework/Resources/VDC.plugin/Contents/Resources/VDCAssistant
  189 ??         0:25.20 /usr/libexec/symptomsd
  190 ??         0:01.45 /usr/libexec/findmydeviced
  191 ??         0:01.06 /System/Library/PrivateFrameworks/CoreSymbolication.framework/coresymbolicationd
  194 ??         0:03.70 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted
  195 ??         0:00.21 /usr/libexec/syspolicyd
  196 ??         3:20.72 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
  199 ??         0:00.35 /usr/libexec/thermald
  200 ??         0:00.36 /System/Library/PrivateFrameworks/SoftwareUpdate.framework/Resources/suhelperd
  203 ??         0:00.35 /System/Library/CoreServices/backupd.bundle/Contents/Resources/TMCacheDelete
  204 ??         9:35.68 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/installd
  205 ??         0:00.01 /usr/libexec/periodic-wrapper daily
  271 ??         0:00.01 /usr/libexec/periodic-wrapper weekly
  285 ??         0:00.39 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
  304 ??         0:01.36 /usr/sbin/systemsoundserverd
  305 ??         0:00.10 /System/Library/PrivateFrameworks/AccountPolicy.framework/XPCServices/com.apple.AccountPolicyHelper.xpc/Contents/MacOS/com.apple.AccountPolicyHelper
  306 ??         0:00.58 /System/Library/PrivateFrameworks/TCC.framework/Resources/tccd system
  329 ??         0:02.10 /usr/libexec/watchdogd
  336 ??         0:00.97 /System/Library/CoreServices/sharedfilelistd --enable-legacy-services
  337 ??         0:00.13 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeaccountd daemon
  341 ??         0:00.11 /usr/libexec/nsurlstoraged
  344 ??         0:00.09 /System/Library/PrivateFrameworks/Noticeboard.framework/Versions/A/Resources/nbstated
  347 ??         0:00.32 /usr/libexec/diskmanagementd
  363 ??         0:14.45 /usr/libexec/securityd_service
  366 ??         0:56.16 /usr/sbin/distnoted agent
  368 ??         0:18.19 /usr/sbin/cfprefsd agent
  382 ??         0:03.30 /System/Library/PrivateFrameworks/TCC.framework/Resources/tccd
  383 ??         0:33.20 /usr/libexec/pkd
  386 ??         0:01.04 /usr/libexec/secd
  389 ??         0:00.96 /System/Library/Frameworks/AddressBook.framework/Versions/A/XPCServices/com.apple.AddressBook.ContactsAccountsService.xpc/Contents/MacOS/com.apple.AddressBook.ContactsAccountsService
